,sum
research,5147.0
nps,3828.0
support,3322.0
systems,3238.0
data,2698.0
program,2689.0
provide,2314.0
project,2231.0
naval,2124.0
analysis,2036.0
development,2007.0
system,1924.0
navy,1853.0
work,1807.0
develop,1674.0
operations,1598.0
use,1522.0
based,1499.0
security,1397.0
model,1388.0
new,1351.0
students,1345.0
study,1335.0
defense,1321.0
course,1317.0
management,1299.0
design,1295.0
information,1282.0
school,1270.0
objective,1262.0
training,1248.0
effort,1175.0
proposal,1169.0
education,1150.0
operational,1125.0
capabilities,1120.0
postgraduate,1111.0
military,1103.0
engineering,1095.0
include,1095.0
using,1087.0
technology,1070.0
proposed,1069.0
control,1026.0
current,1023.0
also,1017.0
used,1013.0
performance,975.0
2,973.0
network,972.0
environment,972.0
high,955.0
energy,940.0
1,935.0
models,933.0
time,928.0
requirements,925.0
two,922.0
modeling,912.0
well,905.0
acquisition,894.0
future,883.0
mission,881.0
field,875.0
space,860.0
capability,858.0
available,814.0
faculty,814.0
u,789.0
department,786.0
warfare,786.0
cost,772.0
technologies,764.0
learning,756.0
developed,756.0
methods,754.0
simulation,753.0
test,752.0
technical,744.0
decision,739.0
techniques,733.0
3,732.0
level,728.0
planning,723.0
team,716.0
efforts,713.0
dod,706.0
potential,706.0
programs,697.0
studies,689.0
software,686.0
focus,686.0
including,679.0
center,676.0
strategic,673.0
marine,669.0
tools,668.0
areas,666.0
related,665.0
understanding,664.0
identify,655.0
within,648.0
process,647.0
one,646.0
conduct,641.0
national,630.0
command,625.0
goal,624.0
may,623.0
surface,618.0
improve,611.0
courses,607.0
activities,600.0
student,597.0
order,597.0
force,590.0
maritime,589.0
area,586.0
joint,584.0
state,581.0
approach,579.0
us,577.0
objectives,576.0
various,574.0
officers,572.0
integration,571.0
e,562.0
forces,556.0
power,553.0
specific,534.0
applications,529.0
three,528.0
required,528.0
graduate,528.0
results,526.0
part,523.0
interest,523.0
intelligence,519.0
air,518.0
human,515.0
knowledge,513.0
testing,511.0
critical,509.0
sea,509.0
science,508.0
would,506.0
assessment,505.0
year,505.0
concepts,504.0
issues,501.0
associated,497.0
communications,496.0
office,493.0
existing,487.0
range,473.0
corps,468.0
advanced,467.0
investigate,467.0
phase,463.0
multi,462.0
processes,461.0
community,460.0
making,458.0
personnel,457.0
developing,457.0
effective,455.0
large,454.0
impact,452.0
group,449.0
designed,445.0
explore,445.0
need,445.0
first,445.0
environments,444.0
continue,443.0
curriculum,443.0
effects,438.0
tactical,433.0
funding,433.0
across,431.0
address,431.0
sensor,428.0
resources,427.0
determine,426.0
ship,423.0
non,421.0
evaluate,421.0
sensors,415.0
provides,408.0
cyber,408.0
includes,407.0
plan,406.0
evaluation,406.0
unmanned,403.0
ability,403.0
effectiveness,400.0
networks,400.0
key,400.0
policy,399.0
academic,398.0
ocean,398.0
conducted,396.0
propose,396.0
best,395.0
small,394.0
enhance,394.0
multiple,393.0
real,393.0
application,392.0
materials,391.0
participants,389.0
topics,389.0
better,387.0
social,386.0
experimentation,386.0
understand,384.0
thesis,382.0
projects,379.0
conditions,379.0
degree,379.0
specifically,378.0
purpose,378.0
perform,377.0
different,376.0
flight,375.0
assess,375.0
government,373.0
algorithms,372.0
long,372.0
help,371.0
concept,367.0
4,366.0
distributed,366.0
communication,366.0
weapons,364.0
complex,364.0
missions,363.0
set,360.0
currently,359.0
optimization,359.0
challenges,359.0
providing,359.0
integrated,358.0
detection,357.0
enable,357.0
combat,356.0
collaboration,356.0
needs,355.0
expertise,353.0
spacecraft,352.0
many,349.0
acoustic,349.0
build,349.0
logistics,349.0
could,348.0
low,348.0
army,347.0
sponsor,346.0
certificate,345.0
opportunities,345.0
supports,345.0
tool,344.0
collection,344.0
risk,343.0
architecture,343.0
examine,343.0
ground,342.0
computer,341.0
fleet,340.0
analyze,338.0
implementation,335.0
tasks,333.0
experience,332.0
onr,330.0
laboratory,329.0
problem,325.0
mobile,325.0
number,325.0
provided,324.0
measurements,324.0
experiments,323.0
relevant,323.0
states,319.0
autonomous,319.0
term,318.0
create,314.0
addition,314.0
important,313.0
framework,312.0
global,310.0
international,309.0
delivery,307.0
assist,305.0
civilian,304.0
open,303.0
services,301.0
emerging,299.0
report,299.0
staff,298.0
active,298.0
several,297.0
day,296.0
environmental,295.0
focused,294.0
lab,293.0
g,293.0
upon,292.0
make,291.0
leadership,291.0
executive,290.0
cirpas,289.0
core,289.0
supporting,288.0
primary,288.0
particular,288.0
nuclear,287.0
operation,287.0
needed,286.0
applied,286.0
second,284.0
response,284.0
innovation,284.0
5,283.0
unique,282.0
service,282.0
generation,281.0
regional,281.0
infrastructure,281.0
via,281.0
practices,280.0
major,279.0
source,278.0
meet,277.0
aircraft,276.0
united,276.0
workshop,276.0
solutions,276.0
overall,275.0
allow,275.0
deliver,275.0
task,274.0
quality,274.0
increase,274.0
short,274.0
awareness,273.0
processing,273.0
lead,272.0
possible,271.0
distance,269.0
identified,268.0
strategy,266.0
special,266.0
cooperation,266.0
execution,265.0
