,0,percentage
research,2914,0.39846848078763847
support,2186,0.29891973198413785
nps,2149,0.293860248871872
provide,1849,0.25283741282647343
systems,1737,0.23752222070285792
project,1632,0.22316422808696842
program,1609,0.22001914399015451
naval,1592,0.2176945166142486
development,1477,0.20196909613017913
develop,1385,0.18938875974292357
work,1361,0.18610693285929167
analysis,1351,0.18473950499111172
data,1241,0.16969779844113222
system,1206,0.1649118009025024
objective,1175,0.16067277451114453
use,1128,0.15424586353069875
based,1122,0.15342540680979078
school,1120,0.1531519212361548
navy,1089,0.14891289484479694
operations,1087,0.14863940927116095
postgraduate,1033,0.1412552987829892
new,1010,0.1381102146861753
proposal,1007,0.1376999863257213
students,939,0.12840147682209763
effort,905,0.12375222207028579
proposed,905,0.12375222207028579
include,899,0.12293176534937782
defense,893,0.12211130862846985
study,887,0.12129085190756188
using,868,0.11869273895801996
design,860,0.117598796663476
also,845,0.11554765486120608
information,841,0.11500068371393408
capabilities,840,0.11486394092711609
current,822,0.11240257076439218
used,817,0.11171885683030221
education,809,0.11062491453575823
2,803,0.10980445781485026
operational,803,0.10980445781485026
security,795,0.1087105155203063
technology,791,0.10816354437303433
management,781,0.10679611650485436
well,774,0.1058389169971284
model,771,0.10542868863667441
1,763,0.10433474634213045
environment,748,0.10228360453986052
available,734,0.10036920552440859
military,731,0.0999589771639546
future,727,0.09941200601668262
requirements,716,0.09790783536168467
training,715,0.09777109257486667
time,712,0.09736086421441269
two,706,0.09654040749350472
capability,705,0.09640366470668672
course,695,0.09503623683850677
field,687,0.0939422945439628
department,674,0.09216463831532887
high,672,0.09189115274169288
performance,665,0.09093395323396691
developed,651,0.08901955421851497
faculty,641,0.08765212635033502
mission,634,0.08669492684260906
engineering,631,0.08628469848215507
focus,621,0.08491727061397511
modeling,619,0.08464378504033912
3,609,0.08327635717215917
efforts,602,0.0823191576644332
models,595,0.08136195815670723
including,594,0.08122521536988923
control,585,0.07999453028852728
conduct,580,0.0793108163544373
related,576,0.07876384520716533
techniques,568,0.07766990291262135
level,565,0.07725967455216737
technical,565,0.07725967455216737
center,563,0.07698618897853138
potential,558,0.0763024750444414
understanding,554,0.07575550389716942
technologies,552,0.07548201832353343
areas,552,0.07548201832353343
goal,548,0.07493504717626145
within,547,0.07479830438944346
improve,543,0.07425133324217148
u,539,0.0737043620948995
acquisition,535,0.0731573909476275
programs,532,0.07274716258717352
studies,532,0.07274716258717352
one,530,0.07247367701353753
dod,514,0.07028579242444961
order,512,0.07001230685081362
objectives,512,0.07001230685081362
methods,511,0.06987556406399563
warfare,508,0.06946533570354164
